Order Line;Order ID;Order Date;Ship Date;Ship Mode;Customer ID;Product ID;Sales;Quantity;Discount;Profit
51;CA-2020-115742;18/04/2020;22/04/2020;Standard Class;DP-13000;OFF-LA-10002762;75.18;6;0;353.346
52;CA-2020-115742;18/04/2020;22/04/2020;Standard Class;DP-13000;FUR-FU-10001706;6.16;2;0;29.568
53;CA-2020-115742;18/04/2020;22/04/2020;Standard Class;DP-13000;FUR-CH-10003061;89.99;1;0;170.981
54;CA-2021-105816;11/12/2021;17/12/2021;Standard Class;JM-15265;OFF-FA-10000304;15.26;7;0;62.566
55;CA-2021-105816;11/12/2021;17/12/2021;Standard Class;JM-15265;TEC-PH-10002447;1029.95;5;0;2.986.855
56;CA-2021-111682;17/06/2021;18/06/2021;First Class;TB-21055;OFF-ST-10000604;208.56;6;0;52.14
57;CA-2021-111682;17/06/2021;18/06/2021;First Class;TB-21055;OFF-PA-10001569;32.4;5;0;15.552
58;CA-2021-111682;17/06/2021;18/06/2021;First Class;TB-21055;FUR-CH-10003968;319.41;5;0.1;7.098
59;CA-2021-111682;17/06/2021;18/06/2021;First Class;TB-21055;OFF-PA-10000587;14.56;2;0;69.888
60;CA-2021-111682;17/06/2021;18/06/2021;First Class;TB-21055;TEC-AC-10002167;30;2;0;3.3
61;CA-2021-111682;17/06/2021;18/06/2021;First Class;TB-21055;OFF-BI-10001460;48.48;4;0.2;16.362
62;CA-2021-111682;17/06/2021;18/06/2021;First Class;TB-21055;OFF-AR-10001868;1.68;1;0;0.84
63;CA-2020-135545;24/11/2020;30/11/2020;Standard Class;KM-16720;TEC-AC-10004633;13.98;2;0;61.512
64;CA-2020-135545;24/11/2020;30/11/2020;Standard Class;KM-16720;OFF-BI-10001078;25.824;6;0.2;93.612
65;CA-2020-135545;24/11/2020;30/11/2020;Standard Class;KM-16720;OFF-PA-10003892;146.73;3;0;689.631
66;CA-2020-135545;24/11/2020;30/11/2020;Standard Class;KM-16720;FUR-FU-10000397;79.76;4;0;223.328
67;US-2020-164175;30/04/2020;05/05/2020;Standard Class;PS-18970;FUR-CH-10001146;213.115;5;0.3;-152.225
68;CA-2019-106376;05/12/2019;10/12/2019;Standard Class;BS-11590;OFF-AR-10002671;1.113.024;8;0.2;1.113.024
69;CA-2019-106376;05/12/2019;10/12/2019;Standard Class;BS-11590;TEC-PH-10002726;167.968;4;0.2;62.988
70;CA-2021-119823;04/06/2021;06/06/2021;First Class;KD-16270;OFF-PA-10000482;75.88;2;0;356.636
71;CA-2021-106075;18/09/2021;23/09/2021;Standard Class;HM-14980;OFF-BI-10004654;4.616;1;0.2;1.731
72;CA-2022-114440;14/09/2022;17/09/2022;Second Class;TB-21520;OFF-PA-10004675;19.05;3;0;8.763
73;US-2020-134026;26/04/2020;02/05/2020;Standard Class;JE-15745;FUR-CH-10000513;831.936;8;0.2;-1.143.912
74;US-2020-134026;26/04/2020;02/05/2020;Standard Class;JE-15745;FUR-FU-10003708;97.04;2;0.2;1.213
75;US-2020-134026;26/04/2020;02/05/2020;Standard Class;JE-15745;OFF-ST-10004123;72.784;1;0.2;-18.196
76;US-2022-118038;09/12/2022;11/12/2022;First Class;KB-16600;OFF-BI-10004182;1.248;3;0.8;-19.344
77;US-2022-118038;09/12/2022;11/12/2022;First Class;KB-16600;FUR-FU-10000260;9.708;3;0.6;-58.248
78;US-2022-118038;09/12/2022;11/12/2022;First Class;KB-16600;OFF-ST-10000615;27.24;3;0.2;2.724
79;US-2019-147606;26/11/2019;01/12/2019;Second Class;JE-15745;FUR-FU-10003194;19.3;5;0.6;-14.475
80;CA-2021-127208;12/06/2021;15/06/2021;First Class;SC-20770;OFF-AP-10002118;208.16;1;0;562.032
81;CA-2021-127208;12/06/2021;15/06/2021;First Class;SC-20770;OFF-BI-10002309;16.74;3;0;80.352
82;CA-2019-139451;12/10/2019;16/10/2019;Standard Class;DN-13690;OFF-AR-10002053;14.9;5;0;4.172
83;CA-2019-139451;12/10/2019;16/10/2019;Standard Class;DN-13690;OFF-ST-10002370;21.39;1;0;62.031
84;CA-2020-149734;03/09/2020;08/09/2020;Standard Class;JC-16105;OFF-EN-10000927;200.984;7;0.2;628.075
85;US-2022-119662;13/11/2022;16/11/2022;First Class;CS-12400;OFF-ST-10003656;230.376;3;0.2;-489.549
86;CA-2022-140088;28/05/2022;30/05/2022;Second Class;PO-18865;FUR-CH-10000863;301.96;2;0;332.156
87;CA-2022-155558;26/10/2022;02/11/2022;Standard Class;PG-18895;TEC-AC-10001998;19.99;1;0;67.966
88;CA-2022-155558;26/10/2022;02/11/2022;Standard Class;PG-18895;OFF-LA-10000134;6.16;2;0;29.568
89;CA-2021-159695;05/04/2021;10/04/2021;Second Class;GM-14455;OFF-ST-10003442;158.368;7;0.2;138.572
90;CA-2021-109806;17/09/2021;22/09/2021;Standard Class;JS-15685;OFF-AR-10004930;20.1;3;0;6.633
91;CA-2021-109806;17/09/2021;22/09/2021;Standard Class;JS-15685;TEC-PH-10004093;73.584;2;0.2;82.782
92;CA-2021-109806;17/09/2021;22/09/2021;Standard Class;JS-15685;OFF-PA-10000304;6.48;1;0;31.104
93;CA-2020-149587;31/01/2020;05/02/2020;Second Class;KB-16315;OFF-PA-10003177;12.96;2;0;62.208
94;CA-2020-149587;31/01/2020;05/02/2020;Second Class;KB-16315;FUR-FU-10003799;53.34;3;0;165.354
95;CA-2020-149587;31/01/2020;05/02/2020;Second Class;KB-16315;OFF-BI-10002852;32.96;2;0;161.504
96;US-2022-109484;06/11/2022;12/11/2022;Standard Class;RB-19705;OFF-BI-10004738;5.682;1;0.7;-3.788
97;CA-2022-161018;09/11/2022;11/11/2022;Second Class;PN-18775;FUR-FU-10000629;96.53;7;0;405.426
98;CA-2022-157833;17/06/2022;20/06/2022;First Class;KD-16345;OFF-BI-10001721;51.312;3;0.2;179.592
99;CA-2021-149223;06/09/2021;11/09/2021;Standard Class;ER-13855;OFF-AP-10000358;77.88;6;0;225.852
100;CA-2021-158568;29/08/2021;02/09/2021;Standard Class;RB-19465;OFF-PA-10003256;64.624;7;0.2;226.184
101;CA-2021-158568;29/08/2021;02/09/2021;Standard Class;RB-19465;TEC-AC-10001767;95.976;3;0.2;-107.973
102;CA-2021-158568;29/08/2021;02/09/2021;Standard Class;RB-19465;OFF-BI-10002609;1.788;3;0.8;-30.396
103;CA-2021-129903;01/12/2021;04/12/2021;Second Class;GZ-14470;OFF-PA-10004040;23.92;4;0;117.208
104;US-2020-156867;13/11/2020;17/11/2020;Standard Class;LC-16870;TEC-AC-10001552;238.896;6;0.2;-268.758
105;US-2020-156867;13/11/2020;17/11/2020;Standard Class;LC-16870;FUR-FU-10004006;102.36;3;0.2;-38.385
106;US-2020-156867;13/11/2020;17/11/2020;Standard Class;LC-16870;OFF-BI-10002794;36.882;3;0.7;-258.174
107;CA-2022-119004;23/11/2022;28/11/2022;Standard Class;JM-15250;TEC-AC-10003499;74.112;8;0.2;176.016
108;CA-2022-119004;23/11/2022;28/11/2022;Standard Class;JM-15250;TEC-PH-10002844;27.992;1;0.2;20.994
109;CA-2022-119004;23/11/2022;28/11/2022;Standard Class;JM-15250;OFF-AR-10000390;3.304;1;0.2;10.738
110;CA-2020-129476;15/10/2020;20/10/2020;Standard Class;PA-19060;TEC-AC-10000844;339.96;5;0.2;67.992
111;CA-2022-146780;25/12/2022;30/12/2022;Standard Class;CV-12805;FUR-FU-10001934;41.96;2;0;109.096
112;CA-2021-128867;03/11/2021;10/11/2021;Standard Class;CL-12565;OFF-AR-10000380;75.96;2;0;22.788
113;CA-2021-128867;03/11/2021;10/11/2021;Standard Class;CL-12565;OFF-BI-10003981;27.24;6;0;133.476
114;CA-2019-115259;25/08/2019;27/08/2019;Second Class;RC-19960;OFF-FA-10000621;40.096;14;0.2;145.348
115;CA-2019-115259;25/08/2019;27/08/2019;Second Class;RC-19960;OFF-EN-10002600;4.72;2;0.2;1.652
116;CA-2019-115259;25/08/2019;27/08/2019;Second Class;RC-19960;OFF-PA-10004965;23.976;3;0.2;74.925
117;CA-2019-115259;25/08/2019;27/08/2019;Second Class;RC-19960;OFF-EN-10002504;130.464;6;0.2;440.316
118;CA-2020-110457;02/03/2020;06/03/2020;Standard Class;DK-13090;FUR-TA-10001768;787.53;3;0;1.653.813
119;US-2020-136476;05/04/2020;10/04/2020;Standard Class;GG-14650;OFF-BI-10003650;157.794;1;0.7;-1.157.156
120;CA-2021-103730;12/06/2021;15/06/2021;First Class;SC-20725;FUR-FU-10002157;47.04;3;0;183.456
121;CA-2021-103730;12/06/2021;15/06/2021;First Class;SC-20725;OFF-BI-10003910;30.84;4;0;13.878
122;CA-2021-103730;12/06/2021;15/06/2021;First Class;SC-20725;OFF-ST-10000777;226.56;6;0;634.368
123;CA-2021-103730;12/06/2021;15/06/2021;First Class;SC-20725;OFF-EN-10002500;115.02;9;0;51.759
124;CA-2021-103730;12/06/2021;15/06/2021;First Class;SC-20725;TEC-PH-10003875;68.04;7;0;197.316
125;US-2019-152030;26/12/2019;28/12/2019;Second Class;AD-10180;FUR-CH-10004063;600.558;3;0.3;-85.794
126;US-2019-134614;20/09/2019;25/09/2019;Standard Class;PF-19165;FUR-TA-10004534;617.7;6;0.5;-407.682
127;US-2022-107272;05/11/2022;12/11/2022;Standard Class;TS-21610;OFF-BI-10003274;2.388;2;0.7;-18.308
128;US-2022-107272;05/11/2022;12/11/2022;Standard Class;TS-21610;OFF-ST-10002974;243.992;7;0.2;30.499
129;US-2021-125969;06/11/2021;10/11/2021;Second Class;LS-16975;FUR-CH-10001146;81.424;2;0.2;-91.602
130;US-2021-125969;06/11/2021;10/11/2021;Second Class;LS-16975;FUR-FU-10003773;238.56;3;0;262.416
131;US-2022-164147;02/02/2022;05/02/2022;First Class;DW-13585;TEC-PH-10002293;59.97;5;0.4;-11.994
132;US-2022-164147;02/02/2022;05/02/2022;First Class;DW-13585;OFF-PA-10002377;78.304;2;0.2;29.364
133;US-2022-164147;02/02/2022;05/02/2022;First Class;DW-13585;OFF-FA-10002780;21.456;9;0.2;69.732
134;CA-2021-145583;13/10/2021;19/10/2021;Standard Class;LC-16885;OFF-PA-10001804;20.04;3;0;96.192
135;CA-2021-145583;13/10/2021;19/10/2021;Standard Class;LC-16885;OFF-PA-10001736;35.44;1;0;166.568
136;CA-2021-145583;13/10/2021;19/10/2021;Standard Class;LC-16885;OFF-AR-10001149;11.52;4;0;3.456
137;CA-2021-145583;13/10/2021;19/10/2021;Standard Class;LC-16885;OFF-FA-10002988;4.02;2;0;19.698
138;CA-2021-145583;13/10/2021;19/10/2021;Standard Class;LC-16885;OFF-BI-10004781;76.176;3;0.2;266.616
139;CA-2021-145583;13/10/2021;19/10/2021;Standard Class;LC-16885;OFF-SU-10001218;65.88;6;0;184.464
140;CA-2021-145583;13/10/2021;19/10/2021;Standard Class;LC-16885;FUR-FU-10001706;43.12;14;0;206.976
141;CA-2021-110366;05/09/2021;07/09/2021;Second Class;JD-15895;FUR-FU-10004848;82.8;2;0.2;10.35
142;CA-2022-106180;18/09/2022;23/09/2022;Standard Class;SH-19975;OFF-AR-10000940;8.82;3;0;23.814
143;CA-2022-106180;18/09/2022;23/09/2022;Standard Class;SH-19975;OFF-EN-10004030;10.86;3;0;51.042
144;CA-2022-106180;18/09/2022;23/09/2022;Standard Class;SH-19975;OFF-PA-10004327;143.7;3;0;68.976
145;CA-2022-155376;22/12/2022;27/12/2022;Standard Class;SG-20080;OFF-AP-10001058;839.43;3;0;2.182.518
146;CA-2020-110744;07/09/2020;12/09/2020;Standard Class;HA-14920;OFF-ST-10003656;671.93;7;0;202.079
147;CA-2019-110072;22/10/2019;28/10/2019;Standard Class;MG-17680;FUR-FU-10000521;93.888;4;0.2;129.096
148;CA-2021-114489;05/12/2021;09/12/2021;Standard Class;JE-16165;TEC-PH-10000215;384.45;11;0;1.038.015
149;CA-2021-114489;05/12/2021;09/12/2021;Standard Class;JE-16165;TEC-PH-10001448;149.97;3;0;59.988
150;CA-2021-114489;05/12/2021;09/12/2021;Standard Class;JE-16165;FUR-CH-10000454;1951.84;8;0;585.552
151;CA-2021-114489;05/12/2021;09/12/2021;Standard Class;JE-16165;OFF-BI-10002735;171.55;5;0;806.285
152;CA-2021-158834;13/03/2021;16/03/2021;First Class;TW-21025;OFF-AP-10000326;157.92;5;0.2;17.766
153;CA-2021-158834;13/03/2021;16/03/2021;First Class;TW-21025;TEC-PH-10001254;203.184;2;0.2;152.388
154;CA-2020-124919;31/05/2020;02/06/2020;First Class;SP-20650;OFF-PA-10001950;58.38;7;0;26.271
155;CA-2020-124919;31/05/2020;02/06/2020;First Class;SP-20650;OFF-PA-10002254;105.52;4;0;485.392
156;CA-2020-124919;31/05/2020;02/06/2020;First Class;SP-20650;OFF-ST-10001590;80.88;6;0;210.288
157;CA-2020-118948;28/05/2020;03/06/2020;Standard Class;NK-18490;OFF-AR-10001547;6.63;3;0;17.901
158;CA-2019-104269;01/03/2019;06/03/2019;Second Class;DB-13060;FUR-CH-10004063;457.568;2;0.2;514.764
159;CA-2021-114104;20/11/2021;24/11/2021;Standard Class;NP-18670;OFF-LA-10002475;14.62;2;0;68.714
160;CA-2021-114104;20/11/2021;24/11/2021;Standard Class;NP-18670;TEC-PH-10004536;944.93;7;0;2.362.325
161;CA-2021-162733;11/05/2021;12/05/2021;First Class;TT-21070;OFF-PA-10002751;5.98;1;0;2.691
162;CA-2020-119697;28/12/2020;31/12/2020;Second Class;EM-13960;TEC-AC-10003657;54.384;2;0.2;13.596
163;CA-2021-154508;16/11/2021;20/11/2021;Standard Class;RD-19900;OFF-EN-10001990;28.4;5;0;13.348
164;CA-2021-113817;07/11/2021;11/11/2021;Standard Class;MJ-17740;OFF-BI-10004002;27.68;2;0.2;9.688
165;CA-2019-139892;08/09/2019;12/09/2019;Standard Class;BM-11140;OFF-AR-10004441;9.936;3;0.2;27.324
166;CA-2019-139892;08/09/2019;12/09/2019;Standard Class;BM-11140;TEC-MA-10000822;8.159.952;8;0.4;-1.359.992
167;CA-2019-139892;08/09/2019;12/09/2019;Standard Class;BM-11140;OFF-ST-10000991;275.928;3;0.2;-586.347
168;CA-2019-139892;08/09/2019;12/09/2019;Standard Class;BM-11140;FUR-CH-10004287;1740.06;9;0.3;-24.858
169;CA-2019-139892;08/09/2019;12/09/2019;Standard Class;BM-11140;OFF-AR-10002656;32.064;6;0.2;68.136
170;CA-2019-139892;08/09/2019;12/09/2019;Standard Class;BM-11140;OFF-AP-10002518;177.98;5;0.8;-453.849
171;CA-2019-139892;08/09/2019;12/09/2019;Standard Class;BM-11140;TEC-PH-10003931;143.976;3;0.2;89.985
172;CA-2019-118962;05/08/2019;09/08/2019;Standard Class;CS-12130;OFF-PA-10000659;20.94;3;0;98.418
173;CA-2019-118962;05/08/2019;09/08/2019;Standard Class;CS-12130;OFF-PA-10001144;110.96;2;0;532.608
174;CA-2019-118962;05/08/2019;09/08/2019;Standard Class;CS-12130;FUR-CH-10003817;340.144;7;0.2;21.259
175;US-2019-100853;14/09/2019;19/09/2019;Standard Class;JB-15400;OFF-AP-10000891;52.448;2;0.8;-131.12
176;US-2019-100853;14/09/2019;19/09/2019;Standard Class;JB-15400;OFF-LA-10003148;20.16;4;0.2;6.552
177;US-2022-152366;21/04/2022;25/04/2022;Second Class;SJ-20500;OFF-AP-10002684;97.264;4;0.8;-243.16
178;US-2020-101511;21/11/2020;23/11/2020;Second Class;JE-15745;FUR-CH-10004698;396.802;7;0.3;-113.372
179;US-2020-101511;21/11/2020;23/11/2020;Second Class;JE-15745;OFF-SU-10002189;15.88;5;0.2;-37.715
180;CA-2020-137225;15/12/2020;19/12/2020;Standard Class;JK-15640;OFF-AR-10001940;3.28;1;0;14.104
181;CA-2019-166191;05/12/2019;09/12/2019;Second Class;DK-13150;OFF-ST-10003455;24.816;2;0.2;18.612
182;CA-2019-166191;05/12/2019;09/12/2019;Second Class;DK-13150;TEC-AC-10004659;408.744;7;0.2;766.395
183;CA-2019-158274;19/11/2019;24/11/2019;Second Class;RM-19675;TEC-PH-10003273;503.96;4;0;1.310.296
184;CA-2019-158274;19/11/2019;24/11/2019;Second Class;RM-19675;TEC-PH-10004896;149.95;5;0;41.986
185;CA-2019-158274;19/11/2019;24/11/2019;Second Class;RM-19675;TEC-AC-10002345;29;2;0;7.25
186;CA-2021-105018;28/11/2021;02/12/2021;Standard Class;SK-19990;OFF-BI-10001890;7.16;2;0;34.368
187;CA-2019-123260;26/08/2019;30/08/2019;Standard Class;FM-14290;TEC-AC-10002323;176.8;8;0;22.984
188;CA-2021-157000;16/07/2021;22/07/2021;Standard Class;AM-10360;OFF-ST-10001328;37.224;3;0.2;37.224
189;CA-2021-157000;16/07/2021;22/07/2021;Standard Class;AM-10360;OFF-PA-10001950;20.016;3;0.2;6.255
190;CA-2020-102281;12/10/2020;14/10/2020;First Class;MP-17470;FUR-BO-10002613;899.136;4;0.2;112.392
191;CA-2020-102281;12/10/2020;14/10/2020;First Class;MP-17470;TEC-PH-10001552;71.76;6;0;200.928
192;CA-2020-102281;12/10/2020;14/10/2020;First Class;MP-17470;OFF-PA-10000061;51.84;8;0;248.832
193;CA-2020-102281;12/10/2020;14/10/2020;First Class;MP-17470;FUR-BO-10002545;626.352;3;0.2;469.764
194;CA-2020-102281;12/10/2020;14/10/2020;First Class;MP-17470;OFF-AR-10003514;19.9;5;0;6.567
195;CA-2020-131457;31/10/2020;06/11/2020;Standard Class;MZ-17515;OFF-EN-10001509;14.28;7;0;67.116
196;CA-2019-140004;21/03/2019;25/03/2019;Standard Class;CB-12025;OFF-AR-10004685;7.408;2;0.2;12.038
197;CA-2019-140004;21/03/2019;25/03/2019;Standard Class;CB-12025;OFF-AR-10004027;6.048;3;0.2;15.876
198;CA-2022-107720;06/11/2022;13/11/2022;Standard Class;VM-21685;OFF-ST-10001414;46.26;3;0;120.276
199;US-2022-124303;06/07/2022;13/07/2022;Standard Class;FH-14365;OFF-BI-10000343;2.946;2;0.7;-22.586
200;US-2022-124303;06/07/2022;13/07/2022;Standard Class;FH-14365;OFF-PA-10002749;16.056;3;0.2;58.203
201;CA-2022-105074;24/06/2022;29/06/2022;Standard Class;MB-17305;OFF-PA-10002666;21.744;3;0.2;6.795
202;CA-2019-133690;03/08/2019;05/08/2019;First Class;BS-11755;FUR-TA-10004289;218.75;2;0.5;-161.875
203;CA-2019-133690;03/08/2019;05/08/2019;First Class;BS-11755;OFF-AP-10003622;2.6;1;0.2;0.2925
204;US-2022-116701;17/12/2022;21/12/2022;Second Class;LC-17140;OFF-AP-10003217;66.284;2;0.8;-1.789.668
205;CA-2022-126382;03/06/2022;07/06/2022;Standard Class;HK-14890;FUR-FU-10002960;35.168;7;0.2;96.712
206;CA-2022-108329;09/12/2022;14/12/2022;Standard Class;LE-16810;TEC-PH-10001918;444.768;4;0.2;444.768
207;CA-2022-135860;01/12/2022;07/12/2022;Standard Class;JH-15985;OFF-ST-10000642;83.92;4;0;58.744
208;CA-2022-135860;01/12/2022;07/12/2022;Standard Class;JH-15985;TEC-PH-10001700;131.98;2;0;356.346
209;CA-2022-135860;01/12/2022;07/12/2022;Standard Class;JH-15985;OFF-BI-10003274;15.92;4;0;74.824
210;CA-2022-135860;01/12/2022;07/12/2022;Standard Class;JH-15985;OFF-FA-10000134;52.29;9;0;162.099
211;CA-2022-135860;01/12/2022;07/12/2022;Standard Class;JH-15985;OFF-ST-10001522;91.99;1;0;36.796
212;CA-2020-101007;09/02/2020;13/02/2020;Second Class;MS-17980;TEC-AC-10001266;20.8;2;0.2;6.5
213;CA-2020-146262;02/01/2020;09/01/2020;Standard Class;VW-21775;OFF-LA-10004544;23.68;2;0.2;8.88
214;CA-2020-146262;02/01/2020;09/01/2020;Standard Class;VW-21775;FUR-BO-10004695;452.45;5;0.5;-244.323
215;CA-2020-146262;02/01/2020;09/01/2020;Standard Class;VW-21775;TEC-PH-10002844;62.982;3;0.4;-146.958
216;CA-2020-146262;02/01/2020;09/01/2020;Standard Class;VW-21775;TEC-MA-10000864;1188;9;0.7;-950.4
217;CA-2020-146262;02/01/2020;09/01/2020;Standard Class;VW-21775;TEC-AC-10000109;89.584;2;0.2;44.792
218;CA-2021-130162;28/10/2021;01/11/2021;Standard Class;JH-15910;OFF-ST-10001328;93.06;6;0;260.568
219;CA-2021-130162;28/10/2021;01/11/2021;Standard Class;JH-15910;TEC-PH-10002563;302.376;3;0.2;226.782
220;CA-2020-169397;24/12/2020;27/12/2020;First Class;JB-15925;OFF-FA-10000585;5.584;2;0.2;18.148
221;CA-2020-169397;24/12/2020;27/12/2020;First Class;JB-15925;OFF-PA-10004000;22.704;6;0.2;82.302
222;CA-2020-169397;24/12/2020;27/12/2020;First Class;JB-15925;OFF-BI-10002852;19.776;4;0.7;-138.432
223;CA-2020-169397;24/12/2020;27/12/2020;First Class;JB-15925;FUR-FU-10000087;72.704;4;0.2;190.848
224;CA-2020-169397;24/12/2020;27/12/2020;First Class;JB-15925;TEC-MA-10001148;479.988;4;0.7;-3.839.904
225;CA-2020-169397;24/12/2020;27/12/2020;First Class;JB-15925;OFF-AR-10001958;27.168;2;0.2;27.168
226;CA-2020-163055;09/08/2020;16/08/2020;Standard Class;DS-13180;OFF-AR-10001026;2.2;1;0;0.968
227;CA-2020-163055;09/08/2020;16/08/2020;Standard Class;DS-13180;FUR-TA-10003748;622.45;5;0;136.939
228;CA-2020-163055;09/08/2020;16/08/2020;Standard Class;DS-13180;OFF-ST-10002485;21.98;1;0;0.2198
